Stages,Leader,Year,Yellow Jersey,Green jersey,White jersey,Polka-dot jersey
20.2,,1938,GINO BARTALI,,,GINO BARTALI
20.3,,1938,GINO BARTALI,,,GINO BARTALI
21.0,,1938,GINO BARTALI,,,
1.0,,1939,AMÉDÉE FOURNIER,,,
2.1,,1939,ROMAIN MAES,,,
2.2,,1939,JEAN FONTENAY,,,
3.0,,1939,JEAN FONTENAY,,,
4.0,,1939,RENÉ VIETTO,,,
5.0,,1939,RENÉ VIETTO,,,
6.1,,1939,RENÉ VIETTO,,,
6.2,,1939,RENÉ VIETTO,,,
7.0,,1939,RENÉ VIETTO,,,
8.1,,1939,RENÉ VIETTO,,,
8.2,,1939,RENÉ VIETTO,,,
9.0,,1939,RENÉ VIETTO,,,
10.1,,1939,RENÉ VIETTO,,,
10.2,,1939,RENÉ VIETTO,,,
10.3,,1939,RENÉ VIETTO,,,
11.0,,1939,RENÉ VIETTO,,,
12.1,,1939,RENÉ VIETTO,,,
12.2,,1939,RENÉ VIETTO,,,
13.0,,1939,RENÉ VIETTO,,,
14.0,,1939,RENÉ VIETTO,,,
15.0,,1939,SYLVÈRE MAES,,,
16.1,,1939,SYLVÈRE MAES,,,
16.2,,1939,SYLVÈRE MAES,,,
16.3,,1939,SYLVÈRE MAES,,,
17.1,,1939,SYLVÈRE MAES,,,
17.2,,1939,SYLVÈRE MAES,,,
18.1,,1939,SYLVÈRE MAES,,,
18.2,,1939,SYLVÈRE MAES,,,SYLVÈRE MAES
1.0,,1947,FERDI KUBLER,,,
2.0,,1947,RENÉ VIETTO,,,
3.0,,1947,RENÉ VIETTO,,,
4.0,,1947,RENÉ VIETTO,,,
5.0,,1947,RENÉ VIETTO,,,
6.0,,1947,RENÉ VIETTO,,,
7.0,,1947,ALDO RONCONI,,,
8.0,,1947,ALDO RONCONI,,,
9.0,,1947,RENÉ VIETTO,,,
10.0,,1947,RENÉ VIETTO,,,
11.0,,1947,RENÉ VIETTO,,,
12.0,,1947,RENÉ VIETTO,,,
13.0,,1947,RENÉ VIETTO,,,
14.0,,1947,RENÉ VIETTO,,,
15.0,,1947,RENÉ VIETTO,,,
16.0,,1947,RENÉ VIETTO,,,
17.0,,1947,RENÉ VIETTO,,,
18.0,,1947,RENÉ VIETTO,,,
19.0,,1947,PIERRE BRAMBILLA,,,
20.0,,1947,PIERRE BRAMBILLA,,,
21.0,,1947,JEAN ROBIC,,,PIERRE BRAMBILLA
1.0,,1948,GINO BARTALI,,,
2.0,,1948,JEAN ENGELS,,,
3.0,,1948,LOUISON BOBET,,,
4.0,,1948,ROGER LAMBRECHT,,,
5.0,,1948,ROGER LAMBRECHT,,,
6.0,,1948,LOUISON BOBET,,,
7.0,,1948,LOUISON BOBET,,,
8.0,,1948,LOUISON BOBET,,,
9.0,,1948,LOUISON BOBET,,,
10.0,,1948,LOUISON BOBET,,,
11.0,,1948,LOUISON BOBET,,,
12.0,,1948,LOUISON BOBET,,,
13.0,,1948,LOUISON BOBET,,,
14.0,,1948,GINO BARTALI,,,
15.0,,1948,GINO BARTALI,,,
16.0,,1948,GINO BARTALI,,,
17.0,,1948,GINO BARTALI,,,
18.0,,1948,GINO BARTALI,,,
19.0,,1948,GINO BARTALI,,,
20.0,,1948,GINO BARTALI,,,
21.0,,1948,GINO BARTALI,,,GINO BARTALI
1.0,,1949,MARCEL DUSSAULT,,,
2.0,,1949,ROGER LAMBRECHT,,,
3.0,,1949,NORBERT CALLENS,,,
4.0,,1949,JACQUES MARINELLI,,,
5.0,,1949,JACQUES MARINELLI,,,
6.0,,1949,JACQUES MARINELLI,,,
7.0,,1949,JACQUES MARINELLI,,,
8.0,,1949,JACQUES MARINELLI,,,
9.0,,1949,JACQUES MARINELLI,,,
10.0,,1949,FIORENZO MAGNI,,,
11.0,,1949,FIORENZO MAGNI,,,
12.0,,1949,FIORENZO MAGNI,,,
13.0,,1949,FIORENZO MAGNI,,,
14.0,,1949,FIORENZO MAGNI,,,
15.0,,1949,FIORENZO MAGNI,,,
16.0,,1949,GINO BARTALI,,,
17.0,,1949,FAUSTO COPPI,,,
18.0,,1949,FAUSTO COPPI,,,
19.0,,1949,FAUSTO COPPI,,,
20.0,,1949,FAUSTO COPPI,,,
21.0,,1949,FAUSTO COPPI,,,FAUSTO COPPI
1.0,,1950,JEAN GOLDSCHMIT,,,
2.0,,1950,JEAN GOLDSCHMIT,,,
3.0,,1950,BERNARD GAUTHIER,,,
4.0,,1950,BERNARD GAUTHIER,,,
5.0,,1950,BERNARD GAUTHIER,,,
6.0,,1950,JEAN GOLDSCHMIT,,,
7.0,,1950,BERNARD GAUTHIER,,,
8.0,,1950,BERNARD GAUTHIER,,,
9.0,,1950,BERNARD GAUTHIER,,,
10.0,,1950,BERNARD GAUTHIER,,,
11.0,,1950,FIORENZO MAGNI,,,
12.0,,1950,FERDI KUBLER,,,
13.0,,1950,FERDI KUBLER,,,
14.0,,1950,FERDI KUBLER,,,
15.0,,1950,FERDI KUBLER,,,
16.0,,1950,FERDI KUBLER,,,
17.0,,1950,FERDI KUBLER,,,
18.0,,1950,FERDI KUBLER,,,
19.0,,1950,FERDI KUBLER,,,
20.0,,1950,FERDI KUBLER,,,
21.0,,1950,FERDI KUBLER,,,
22.0,,1950,FERDI KUBLER,,,LOUISON BOBET
1.0,,1951,GIOVANNI ROSSI,,,
2.0,,1951,JEAN DIEDERICH,,,
3.0,,1951,JEAN DIEDERICH,,,
4.0,,1951,JEAN DIEDERICH,,,
5.0,,1951,SERIFANO BIAGIONI,,,
6.0,,1951,ROGER LEVEQUE,,,
7.0,,1951,ROGER LEVEQUE,,,
8.0,,1951,ROGER LEVEQUE,,,
9.0,,1951,ROGER LEVEQUE,,,
10.0,,1951,ROGER LEVEQUE,,,
11.0,,1951,ROGER LEVEQUE,,,
12.0,,1951,WIM VAN EST,,,
13.0,,1951,GILBERT BAUVIN,,,
14.0,,1951,HUGO KOBLET,,,
15.0,,1951,HUGO KOBLET,,,
16.0,,1951,HUGO KOBLET,,,
17.0,,1951,HUGO KOBLET,,,
18.0,,1951,HUGO KOBLET,,,
19.0,,1951,HUGO KOBLET,,,
20.0,,1951,HUGO KOBLET,,,
21.0,,1951,HUGO KOBLET,,,
22.0,,1951,HUGO KOBLET,,,
23.0,,1951,HUGO KOBLET,,,
24.0,,1951,HUGO KOBLET,,,RAPHAËL GEMINIANI
1.0,,1952,RIK VAN STEENBERGEN,,,
2.0,,1952,RIK VAN STEENBERGEN,,,
3.0,,1952,NELLO LAUREDI,,,
4.0,,1952,NELLO LAUREDI,,,
5.0,,1952,NELLO LAUREDI,,,
6.0,,1952,FIORENZO MAGNI,,,
7.0,,1952,NELLO LAUREDI,,,
8.0,,1952,FIORENZO MAGNI,,,
9.0,,1952,ANDRÉA CARREA,,,
10.0,,1952,FAUSTO COPPI,,,
11.0,,1952,FAUSTO COPPI,,,
12.0,,1952,FAUSTO COPPI,,,
13.0,,1952,FAUSTO COPPI,,,
14.0,,1952,FAUSTO COPPI,,,
15.0,,1952,FAUSTO COPPI,,,
16.0,,1952,FAUSTO COPPI,,,
17.0,,1952,FAUSTO COPPI,,,
18.0,,1952,FAUSTO COPPI,,,
19.0,,1952,FAUSTO COPPI,,,
20.0,,1952,FAUSTO COPPI,,,
21.0,,1952,FAUSTO COPPI,,,
22.0,,1952,FAUSTO COPPI,,,
23.0,,1952,FAUSTO COPPI,,,FAUSTO COPPI
1.0,,1953,FRITZ SCHAER,,,
2.0,,1953,FRITZ SCHAER,,,
3.0,,1953,FRITZ SCHAER,,,
4.0,,1953,FRITZ SCHAER,,,
5.0,,1953,ROGER HASSENFORDER,,,
6.0,,1953,ROGER HASSENFORDER,,,
7.0,,1953,ROGER HASSENFORDER,,,
8.0,,1953,ROGER HASSENFORDER,,,
9.0,,1953,FRITZ SCHAER,,,
10.0,,1953,FRITZ SCHAER,,,
11.0,,1953,JEAN ROBIC,,,
12.0,,1953,FRANÇOIS MAHE,,,
13.0,,1953,JEAN MALLEJAC,,,
14.0,,1953,JEAN MALLEJAC,,,
15.0,,1953,JEAN MALLEJAC,,,
16.0,,1953,JEAN MALLEJAC,,,
17.0,,1953,JEAN MALLEJAC,,,
18.0,,1953,LOUISON BOBET,,,
19.0,,1953,LOUISON BOBET,,,
20.0,,1953,LOUISON BOBET,,,
21.0,,1953,LOUISON BOBET,,,
22.0,,1953,LOUISON BOBET,FRITZ SCHAER,,JÉSUS LORONO
1.0,,1954,WOUT WAGTMANS,,,
2.0,,1954,WOUT WAGTMANS,,,
3.0,,1954,WOUT WAGTMANS,,,
4.1,,1954,LOUISON BOBET,,,
4.2,,1954,LOUISON BOBET,,,
5.0,,1954,LOUISON BOBET,,,
6.0,,1954,LOUISON BOBET,,,
7.0,,1954,LOUISON BOBET,,,
8.0,,1954,WOUT WAGTMANS,,,
9.0,,1954,WOUT WAGTMANS,,,
10.0,,1954,WOUT WAGTMANS,,,
11.0,,1954,WOUT WAGTMANS,,,
12.0,,1954,GILBERT BAUVIN,,,
13.0,,1954,GILBERT BAUVIN,,,
14.0,,1954,LOUISON BOBET,,,
15.0,,1954,LOUISON BOBET,,,
16.0,,1954,LOUISON BOBET,,,
17.0,,1954,LOUISON BOBET,,,
18.0,,1954,LOUISON BOBET,,,
19.0,,1954,LOUISON BOBET,,,
20.0,,1954,LOUISON BOBET,,,
21.1,,1954,LOUISON BOBET,,,
21.2,,1954,LOUISON BOBET,,,
22.0,,1954,LOUISON BOBET,,,
23.0,,1954,LOUISON BOBET,FERDI KUBLER,,FEDERICO BAHAMONTES
1.1,,1955,MIGUEL POBLET,,,
1.2,,1955,MIGUEL POBLET,,,
2.0,,1955,WOUT WAGTMANS,,,
3.0,,1955,WOUT WAGTMANS,,,
4.0,,1955,ANTONIN ROLLAND,,,
5.0,,1955,ANTONIN ROLLAND,,,
6.0,,1955,ANTONIN ROLLAND,,,
7.0,,1955,WIM VAN EST,,,
8.0,,1955,ANTONIN ROLLAND,,,
9.0,,1955,ANTONIN ROLLAND,,,
10.0,,1955,ANTONIN ROLLAND,,,
11.0,,1955,ANTONIN ROLLAND,,,
12.0,,1955,ANTONIN ROLLAND,,,
13.0,,1955,ANTONIN ROLLAND,,,
14.0,,1955,ANTONIN ROLLAND,,,
15.0,,1955,ANTONIN ROLLAND,,,
16.0,,1955,ANTONIN ROLLAND,,,
17.0,,1955,LOUISON BOBET,,,
18.0,,1955,LOUISON BOBET,,,
19.0,,1955,LOUISON BOBET,,,
20.0,,1955,LOUISON BOBET,,,
21.0,,1955,LOUISON BOBET,,,
22.0,,1955,LOUISON BOBET,STAN OCKERS,,CHARLY GAUL
1.0,,1956,ANDRÉ DARRIGADE,,,
2.0,,1956,ANDRÉ DARRIGADE,,,
3.1,,1956,ANDRÉ DARRIGADE,,,
3.2,,1956,GILBERT DESMET,,,
4.0,,1956,GILBERT DESMET,,,
5.0,,1956,ANDRÉ DARRIGADE,,,
6.0,,1956,ANDRÉ DARRIGADE,,,
7.0,,1956,ROGER WALKOWIAK,,,
8.0,,1956,ROGER WALKOWIAK,,,
9.0,,1956,ROGER WALKOWIAK,,,
10.0,,1956,GERRIT VOORTING,,,
11.0,,1956,ANDRÉ DARRIGADE,,,
12.0,,1956,JEAN ADRIAENSSENS,,,
13.0,,1956,JEAN ADRIAENSSENS,,,
14.0,,1956,JEAN ADRIAENSSENS,,,
15.0,,1956,WOUT WAGTMANS,,,
16.0,,1956,WOUT WAGTMANS,,,
17.0,,1956,WOUT WAGTMANS,,,
18.0,,1956,ROGER WALKOWIAK,,,
19.0,,1956,ROGER WALKOWIAK,,,
20.0,,1956,ROGER WALKOWIAK,,,
21.0,,1956,ROGER WALKOWIAK,,,
22.0,,1956,ROGER WALKOWIAK,STAN OCKERS,,CHARLY GAUL
1.0,,1957,ANDRÉ DARRIGADE,,,
2.0,,1957,RENÉ PRIVAT,,,
3.1,,1957,RENÉ PRIVAT,,,
3.2,,1957,RENÉ PRIVAT,,,
4.0,,1957,RENÉ PRIVAT,,,
5.0,,1957,JACQUES ANQUETIL,,,
6.0,,1957,JACQUES ANQUETIL,,,
7.0,,1957,NICOLAS BARONE,,,
8.0,,1957,JEAN FORESTIER,,,
9.0,,1957,JEAN FORESTIER,,,
10.0,,1957,JACQUES ANQUETIL,,,
11.0,,1957,JACQUES ANQUETIL,,,
12.0,,1957,JACQUES ANQUETIL,,,
13.0,,1957,JACQUES ANQUETIL,,,
14.0,,1957,JACQUES ANQUETIL,,,
15.1,,1957,JACQUES ANQUETIL,,,
15.2,,1957,JACQUES ANQUETIL,,,
16.0,,1957,JACQUES ANQUETIL,,,
17.0,,1957,JACQUES ANQUETIL,,,
18.0,,1957,JACQUES ANQUETIL,,,
19.0,,1957,JACQUES ANQUETIL,,,
20.0,,1957,JACQUES ANQUETIL,,,
21.0,,1957,JACQUES ANQUETIL,,,
22.0,,1957,JACQUES ANQUETIL,JEAN FORESTIER,,GASTONE NENCINI
1.0,,1958,ANDRÉ DARRIGADE,,,
2.0,,1958,JOS HOEVENAERS,,,
3.0,,1958,WIM VAN EST,,,
4.0,,1958,WIM VAN EST,,,
5.0,,1958,GILBERT BAUVIN,,,
6.0,,1958,GERRIT VOORTING,,,
7.0,,1958,GERRIT VOORTING,,,
8.0,,1958,GERRIT VOORTING,,,
9.0,,1958,ANDRÉ DARRIGADE,,,
10.0,,1958,ANDRÉ DARRIGADE,,,
11.0,,1958,ANDRÉ DARRIGADE,,,
12.0,,1958,ANDRÉ DARRIGADE,,,
13.0,,1958,RAPHAËL GEMINIANI,,,
14.0,,1958,VITO FAVERO,,,
15.0,,1958,VITO FAVERO,,,
16.0,,1958,VITO FAVERO,,,
17.0,,1958,VITO FAVERO,,,
18.0,,1958,RAPHAËL GEMINIANI,,,
19.0,,1958,RAPHAËL GEMINIANI,,,
20.0,,1958,RAPHAËL GEMINIANI,,,
21.0,,1958,VITO FAVERO,,,
22.0,,1958,VITO FAVERO,,,
23.0,,1958,CHARLY GAUL,,,
24.0,,1958,CHARLY GAUL,JEAN GRACZYK,,FEDERICO BAHAMONTES
1.0,,1959,ANDRÉ DARRIGADE,,,
2.0,,1959,ANDRÉ DARRIGADE,,,
3.0,,1959,ROBERT CAZALA,,,
4.0,,1959,ROBERT CAZALA,,,
5.0,,1959,ROBERT CAZALA,,,
6.0,,1959,ROBERT CAZALA,,,
7.0,,1959,ROBERT CAZALA,,,
8.0,,1959,ROBERT CAZALA,,,
9.0,,1959,EDDY PAUWELS,,,
10.0,,1959,MICHEL VERMEULIN,,,
11.0,,1959,MICHEL VERMEULIN,,,
12.0,,1959,MICHEL VERMEULIN,,,
13.0,,1959,JOS HOEVENAERS,,,
14.0,,1959,JOS HOEVENAERS,,,
15.0,,1959,JOS HOEVENAERS,,,
16.0,,1959,EDDY PAUWELS,,,
17.0,,1959,FEDERICO BAHAMONTES,,,
18.0,,1959,FEDERICO BAHAMONTES,,,
19.0,,1959,FEDERICO BAHAMONTES,,,
20.0,,1959,FEDERICO BAHAMONTES,,,
21.0,,1959,FEDERICO BAHAMONTES,,,
22.0,,1959,FEDERICO BAHAMONTES,ANDRÉ DARRIGADE,,FEDERICO BAHAMONTES
1.1,,1960,JULIEN SCHEPENS,,,
1.2,,1960,GASTONE NENCINI,,,
2.0,,1960,GASTONE NENCINI,,,
3.0,,1960,JOSEPH GROUSSARD,,,
4.0,,1960,HENRI ANGLADE,,,
5.0,,1960,HENRI ANGLADE,,,
6.0,,1960,JEAN ADRIAENSSENS,,,
7.0,,1960,JEAN ADRIAENSSENS,,,
8.0,,1960,JEAN ADRIAENSSENS,,,
9.0,,1960,JEAN ADRIAENSSENS,,,
10.0,,1960,GASTONE NENCINI,,,
11.0,,1960,GASTONE NENCINI,,,
12.0,,1960,GASTONE NENCINI,,,
13.0,,1960,GASTONE NENCINI,,,
14.0,,1960,GASTONE NENCINI,,,
15.0,,1960,GASTONE NENCINI,,,
16.0,,1960,GASTONE NENCINI,,,
17.0,,1960,GASTONE NENCINI,,,
18.0,,1960,GASTONE NENCINI,,,
19.0,,1960,GASTONE NENCINI,,,
20.0,,1960,GASTONE NENCINI,,,
21.0,,1960,GASTONE NENCINI,JEAN GRACZYK,,FERNANDO MANZANEQUE
1.1,,1961,ANDRÉ DARRIGADE,,,
1.2,,1961,JACQUES ANQUETIL,,,
2.0,,1961,JACQUES ANQUETIL,,,
3.0,,1961,JACQUES ANQUETIL,,,
4.0,,1961,JACQUES ANQUETIL,,,
5.0,,1961,JACQUES ANQUETIL,,,
6.0,,1961,JACQUES ANQUETIL,,,
7.0,,1961,JACQUES ANQUETIL,,,
8.0,,1961,JACQUES ANQUETIL,,,
9.0,,1961,JACQUES ANQUETIL,,,
10.0,,1961,JACQUES ANQUETIL,,,
11.0,,1961,JACQUES ANQUETIL,,,
12.0,,1961,JACQUES ANQUETIL,,,
13.0,,1961,JACQUES ANQUETIL,,,
14.0,,1961,JACQUES ANQUETIL,,,
15.0,,1961,JACQUES ANQUETIL,,,
16.0,,1961,JACQUES ANQUETIL,,,
17.0,,1961,JACQUES ANQUETIL,,,
18.0,,1961,JACQUES ANQUETIL,,,
19.0,,1961,JACQUES ANQUETIL,,,
20.0,,1961,JACQUES ANQUETIL,,,
21.0,,1961,JACQUES ANQUETIL,ANDRÉ DARRIGADE,,IMERIO MASSIGNAN
1.0,,1962,RUDI ALTIG,,,
2.1,,1962,ANDRÉ DARRIGADE,,,
2.2,,1962,ANDRÉ DARRIGADE,,,
3.0,,1962,RUDI ALTIG,,,
4.0,,1962,RUDI ALTIG,,,
5.0,,1962,RUDI ALTIG,,,
6.0,,1962,ALBERTUS GELDERMANS,,,
7.0,,1962,ALBERTUS GELDERMANS,,,
8.1,,1962,ANDRÉ DARRIGADE,,,
8.2,,1962,ANDRÉ DARRIGADE,,,
9.0,,1962,WILLY SCHROEDERS,,,
10.0,,1962,WILLY SCHROEDERS,,,
11.0,,1962,WILLY SCHROEDERS,,,
12.0,,1962,TOM SIMPSON,,,
13.0,,1962,JOSEPH Planckaert,,,
14.0,,1962,JOSEPH Planckaert,,,
15.0,,1962,JOSEPH Planckaert,,,
16.0,,1962,JOSEPH Planckaert,,,
17.0,,1962,JOSEPH Planckaert,,,
18.0,,1962,JOSEPH Planckaert,,,
19.0,,1962,JOSEPH Planckaert,,,
20.0,,1962,JACQUES ANQUETIL,,,
21.0,,1962,JACQUES ANQUETIL,,,
22.0,,1962,JACQUES ANQUETIL,RUDI ALTIG,,FEDERICO BAHAMONTES
1.0,,1963,EDDY PAUWELS,,,
2.1,,1963,EDDY PAUWELS,,,
2.2,,1963,EDDY PAUWELS,,,
3.0,,1963,SEAMUS ELLIOTT,,,
4.0,,1963,SEAMUS ELLIOTT,,,
5.0,,1963,SEAMUS ELLIOTT,,,
6.1,,1963,SEAMUS ELLIOTT,,,
6.2,,1963,GILBERT DESMET,,,
7.0,,1963,GILBERT DESMET,,,
8.0,,1963,GILBERT DESMET,,,
9.0,,1963,GILBERT DESMET,,,
10.0,,1963,GILBERT DESMET,,,
11.0,,1963,GILBERT DESMET,,,
12.0,,1963,GILBERT DESMET,,,
13.0,,1963,GILBERT DESMET,,,
14.0,,1963,GILBERT DESMET,,,
15.0,,1963,GILBERT DESMET,,,
16.0,,1963,FEDERICO BAHAMONTES,,,
17.0,,1963,JACQUES ANQUETIL,,,
18.0,,1963,JACQUES ANQUETIL,,,
19.0,,1963,JACQUES ANQUETIL,,,
20.0,,1963,JACQUES ANQUETIL,,,
21.0,,1963,JACQUES ANQUETIL,RIK VAN LOOY,,FEDERICO BAHAMONTES
1.0,,1964,EDWARD SELS,,,
2.0,,1964,EDWARD SELS,,,
3.1,,1964,EDWARD SELS,,,
3.2,,1964,BERNARD VAN DE KERKHOVE,,,
4.0,,1964,BERNARD VAN DE KERKHOVE,,,
5.0,,1964,RUDI ALTIG,,,
6.0,,1964,RUDI ALTIG,,,
7.0,,1964,RUDI ALTIG,,,
8.0,,1964,GEORGES GROUSSARD,,,
9.0,,1964,GEORGES GROUSSARD,,,
10.1,,1964,GEORGES GROUSSARD,,,
10.2,,1964,GEORGES GROUSSARD,,,
11.0,,1964,GEORGES GROUSSARD,,,
12.0,,1964,GEORGES GROUSSARD,,,
13.0,,1964,GEORGES GROUSSARD,,,
14.0,,1964,GEORGES GROUSSARD,,,
15.0,,1964,GEORGES GROUSSARD,,,
16.0,,1964,GEORGES GROUSSARD,,,
17.0,,1964,JACQUES ANQUETIL,,,
18.0,,1964,JACQUES ANQUETIL,,,
19.0,,1964,JACQUES ANQUETIL,,,
20.0,,1964,JACQUES ANQUETIL,,,
21.0,,1964,JACQUES ANQUETIL,,,
22.1,,1964,JACQUES ANQUETIL,,,
22.2,,1964,JACQUES ANQUETIL,JAN JANSSEN,,FEDERICO BAHAMONTES
1.1,,1965,RIK VAN LOOY,,,
1.2,,1965,RIK VAN LOOY,,,
2.0,,1965,BERNARD VAN DE KERKHOVE,,,
3.0,,1965,FELICE GIMONDI,,,
4.0,,1965,FELICE GIMONDI,,,
5.1,,1965,FELICE GIMONDI,,,
5.2,,1965,FELICE GIMONDI,,,
6.0,,1965,FELICE GIMONDI,,,
7.0,,1965,BERNARD VAN DE KERKHOVE,,,
8.0,,1965,BERNARD VAN DE KERKHOVE,,,
9.0,,1965,FELICE GIMONDI,,,
10.0,,1965,FELICE GIMONDI,,,
11.0,,1965,FELICE GIMONDI,,,
12.0,,1965,FELICE GIMONDI,,,
16.0,,1965,FELICE GIMONDI,,,
13.0,,1965,FELICE GIMONDI,,,
14.0,,1965,FELICE GIMONDI,,,
15.0,,1965,FELICE GIMONDI,,,
17.0,,1965,FELICE GIMONDI,,,
18.0,,1965,FELICE GIMONDI,,,
19.0,,1965,FELICE GIMONDI,,,
20.0,,1965,FELICE GIMONDI,,,
21.0,,1965,FELICE GIMONDI,,,
22.0,,1965,FELICE GIMONDI,JAN JANSSEN,,JULIO JIMENEZ
1.0,,1966,RUDI ALTIG,,,
2.0,,1966,RUDI ALTIG,,,
3.1,,1966,RUDI ALTIG,,,
3.2,,1966,RUDI ALTIG,,,
4.0,,1966,RUDI ALTIG,,,
5.0,,1966,RUDI ALTIG,,,
6.0,,1966,RUDI ALTIG,,,
7.0,,1966,RUDI ALTIG,,,
8.0,,1966,RUDI ALTIG,,,
9.0,,1966,RUDI ALTIG,,,
10.0,,1966,TOMMASO DE PRA,,,
11.0,,1966,JEAN-CLAUDE LEBAUBE,,,
12.0,,1966,KARL-HEINZ KUNDE,,,
13.0,,1966,KARL-HEINZ KUNDE,,,
14.1,,1966,KARL-HEINZ KUNDE,,,
14.2,,1966,KARL-HEINZ KUNDE,,,
15.0,,1966,KARL-HEINZ KUNDE,,,
16.0,,1966,JAN JANSSEN,,,
17.0,,1966,LUCIEN AIMAR,,,
18.0,,1966,LUCIEN AIMAR,,,
19.0,,1966,LUCIEN AIMAR,,,
20.0,,1966,LUCIEN AIMAR,,,
21.0,,1966,LUCIEN AIMAR,,,
22.1,,1966,LUCIEN AIMAR,,,
22.2,,1966,LUCIEN AIMAR,,,
0.0,,1967,JOSÉ-MARIA ERRANDONEA,,,
1.0,,1967,JOSÉ-MARIA ERRANDONEA,,,
2.0,,1967,WILLY VAN NESTE,,,
3.0,,1967,GIANCARLO POLIDORI,,,
4.0,,1967,JOSEPH SPRUYT,,,
5.1,,1967,ROGER PINGEON,,,
5.2,,1967,ROGER PINGEON,,,
6.0,,1967,ROGER PINGEON,,,
7.0,,1967,RAYMOND RIOTTE,,,
8.0,,1967,ROGER PINGEON,,,
9.0,,1967,ROGER PINGEON,,,
10.0,,1967,ROGER PINGEON,,,
11.0,,1967,ROGER PINGEON,,,
12.0,,1967,ROGER PINGEON,,,
13.0,,1967,ROGER PINGEON,,,
14.0,,1967,ROGER PINGEON,,,
15.0,,1967,ROGER PINGEON,,,
16.0,,1967,ROGER PINGEON,,,
17.0,,1967,ROGER PINGEON,,,
18.0,,1967,ROGER PINGEON,,,
19.0,,1967,ROGER PINGEON,,,
20.0,,1967,ROGER PINGEON,,,
21.0,,1967,ROGER PINGEON,,,
22.1,,1967,ROGER PINGEON,,,
22.2,,1967,ROGER PINGEON,JAN JANSSEN,,JULIO JIMENEZ
0.0,,1968,CHARLY GROSSKOST,,,
1.0,,1968,CHARLY GROSSKOST,,,
2.0,,1968,CHARLY GROSSKOST,,,
3.1,,1968,HERMAN VANSPRINGEL,,,
3.2,,1968,HERMAN VANSPRINGEL,,,
4.0,,1968,JEAN-PIERRE GENET,,,
5.1,,1968,GEORGES VANDENBERGHE,,,
5.2,,1968,GEORGES VANDENBERGHE,,,
6.0,,1968,GEORGES VANDENBERGHE,,,
7.0,,1968,GEORGES VANDENBERGHE,,,
8.0,,1968,GEORGES VANDENBERGHE,,,
9.0,,1968,GEORGES VANDENBERGHE,,,
10.0,,1968,GEORGES VANDENBERGHE,,,
11.0,,1968,GEORGES VANDENBERGHE,,,
12.0,,1968,GEORGES VANDENBERGHE,,,
13.0,,1968,GEORGES VANDENBERGHE,,,
14.0,,1968,GEORGES VANDENBERGHE,,,
15.0,,1968,GEORGES VANDENBERGHE,,,
16.0,,1968,ROLF WOLFSHOHL,,,
17.0,,1968,ROLF WOLFSHOHL,,,
18.0,,1968,GREGORIO SAN MIGUEL,,,
19.0,,1968,HERMAN VANSPRINGEL,,,
20.0,,1968,HERMAN VANSPRINGEL,,,
21.0,,1968,HERMAN VANSPRINGEL,,,
22.1,,1968,HERMAN VANSPRINGEL,,,
22.2,,1968,JAN JANSSEN,FRANCO BITOSSI,,AURELIO GONZALEZ
0.0,,1969,RUDI ALTIG,,,
1.1,,1969,RUDI ALTIG,,,
1.2,,1969,EDDY MERCKX,,,
2.0,,1969,JULIEN STEVENS,,,
3.0,,1969,JULIEN STEVENS,,,
4.0,,1969,JULIEN STEVENS,,,
5.0,,1969,DÉSIRÉ LETORT,,,
6.0,,1969,EDDY MERCKX,,,
7.0,,1969,EDDY MERCKX,,,
8.1,,1969,EDDY MERCKX,,,
8.2,,1969,EDDY MERCKX,,,
9.0,,1969,EDDY MERCKX,,,
10.0,,1969,EDDY MERCKX,,,
11.0,,1969,EDDY MERCKX,,,
12.0,,1969,EDDY MERCKX,,,
13.0,,1969,EDDY MERCKX,,,
14.0,,1969,EDDY MERCKX,,,
15.0,,1969,EDDY MERCKX,,,
16.0,,1969,EDDY MERCKX,,,
17.0,,1969,EDDY MERCKX,,,
18.0,,1969,EDDY MERCKX,,,
19.0,,1969,EDDY MERCKX,,,
20.0,,1969,EDDY MERCKX,,,
21.0,,1969,EDDY MERCKX,,,
22.1,,1969,EDDY MERCKX,,,
22.2,,1969,EDDY MERCKX,EDDY MERCKX,,EDDY MERCKX
0.0,,1970,EDDY MERCKX,,,
1.0,,1970,EDDY MERCKX,,,
2.0,,1970,ITALO ZILIOLI,,,
3.1,,1970,ITALO ZILIOLI,,,
3.2,,1970,ITALO ZILIOLI,,,
4.0,,1970,ITALO ZILIOLI,,,
5.1,,1970,ITALO ZILIOLI,,,
5.2,,1970,ITALO ZILIOLI,,,
6.0,,1970,EDDY MERCKX,,,
7.1,,1970,EDDY MERCKX,,,
7.2,,1970,EDDY MERCKX,,,
8.0,,1970,EDDY MERCKX,,,
9.0,,1970,EDDY MERCKX,,,
10.0,,1970,EDDY MERCKX,,,
11.1,,1970,EDDY MERCKX,,,
11.2,,1970,EDDY MERCKX,,,
12.0,,1970,EDDY MERCKX,,,
13.0,,1970,EDDY MERCKX,,,
14.0,,1970,EDDY MERCKX,,,
15.0,,1970,EDDY MERCKX,,,
16.0,,1970,EDDY MERCKX,,,
17.0,,1970,EDDY MERCKX,,,
18.0,,1970,EDDY MERCKX,,,
19.0,,1970,EDDY MERCKX,,,
